0,1
"1 
Bachelor of Business Administration","√ 
√ 
  
√"
"2 
Bachelor of Science (Accounting & Finance)","√ 
  
√"
"3 
Bachelor of Science (Artificial Intelligence)","√ 
√ 
√ 
  
√"
"4 
Bachelor of Science (Business Analytics)","√ 
√ 
√ 
√"
"5 
Bachelor of Science (Civil Engineering)",√
"6 
Bachelor of Science (Computer Science)","√ 
√ 
√ 
√ 
√"
"7 
Bachelor of Science (Cyber Security)","√ 
√"
"8 
Bachelor of Science (Data Science)","√ 
  
√"
"9 
Bachelor of Science (Electrical Engineering)","√ 
√ 
√ 
√ 
√"
"10 
Bachelor of Science (Financial Technologies)","√ 
√ 
√"
"11 
Bachelor of Science (Software Engineering)","√ 
√ 
√ 
√ 
√"
