0,1
"CFD
ISB
KHI","LHR
PWR"
Campus,Conference Papers
Chiniot-Faisalabad (CFD),5
Islamabad (ISB),42
Karachi (KHI),27
Lahore (LHR),29
Peshawar (PWR),11
G. Total,428
