0,1
Chapter-6 Research & Development,
Campus Wise information of Journal Articles and Conference Papers,
Campus,Journal Articles
Chiniot-Faisalabad (CFD),57
Islamabad (ISB),128
Karachi (KHI),62
Lahore (LHR),160
Peshawar (PWR),21
G. Total,428
