0,1,2,3,4,5
Campus wise publications – Five Years Summary,,,,,
Campus,2019,2020,2021,2022,2023
Chiniot-Faisalabad (CFD),22,40,70,79,52
Islamabad (ISB),62,88,126,124,119
Karachi (KHI),13,17,30,36,51
Lahore (LHR),51,94,116,119,132
Peshawar (PWR),13,17,33,57,20
G. Total,161,256,375,415,367
