0,1
Department Wise information of Journal Articles and Conference Papers,
Departments,Journal Articles
Civil Engineering (Civ. E),19
Computer Science (CS),172
Electrical Engineering (EE),58
Management Sciences (FSM),45
Sciences & Humanities (S&H),138
G. Total,428
