0,1,2,3,4,5,6,7,8,9,10,11,12
"K
arachi Campus",,,,,,,,,,,,
,,Professor,,,Associate,,,Assistant Professor,,,Lecturer,
Department,,,,,Professor,,,,,,,
,Male,,Female,Male,,Female,Male,,Female,Male,,Female
Artificial Intelligence and Data Science,1,,-,-,,-,2,,1,2,,3
Computer Science,3,,-,1,,-,8,,4,8,,14
Cyber Security,-,,-,-,,-,2,,-,7,,2
Electrical Engineering,-,,-,2,,-,4,,1,3,,3
Management Sciences,-,,-,-,,1,4,,-,3,,2
Sciences & Humanities,-,,-,1,,-,5,,1,10,,20
Software Engineering,-,,-,1,,-,1,,-,2,,5
Total,4,,-,5,,1,26,,7,35,,49
,,4,,,6,,,33,,,84,
