0,1
"1 
Master of Business Administration","√ 
√ 
  
√"
"2 
Master of Science (Applied Linguistics)",√
"3 
Master of Science (Artificial Intelligence)",√
"4 
Master of Science (Business Analytics)","√ 
√ 
√"
"5 
Master of Science (Civil Engineering)",√
"6 
Master of Science (Computer Networks & 
Security)","√ 
√"
"7 
Master of Science (Computer Science)","√ 
√ 
√ 
√ 
√"
"8 
Master of Science (Data Science)","√ 
√ 
√ 
√"
"9 
Master of Science (Electrical Engineering)","√ 
√ 
√ 
√"
