0,1
"CFD
ISB
KHI","LHR
PWR"
epartment wise impact factor publications,
Departments,Publications
Civil Engineering (Civ. E),18
Computer Science (CS),167
Electrical Engineering (EE),55
Management Sciences (FSM),38
Sciences & Humanities (S&H),100
G. Total,378
